Country/Region,Lat,Long,Confirmed,Deaths,IFR
Qatar,2028.384000000002,4094.712,27068,48,0.17733116595241613
Romania,3675.4560000000047,1997.3439999999975,54504,2062,3.7832085718479376
Russia,4800.0,7200.0,77438,568,0.7334900178207082
Rwanda,-155.2239999999999,2389.912000000003,1588,0,0.0
Saint Kitts and Nevis,1388.6257599999972,-5022.639839999999,125,0,0.0
Saint Lucia,1112.7520000000002,-4878.3120000000035,204,0,0.0
Saint Vincent and the Grenadines,1038.743999999999,-4902.976000000003,85,0,0.0
San Marino,3515.3919999999953,996.6240000000012,6216,636,10.231660231660232
Sao Tome and Principe,14.908800000000014,529.0464800000007,20,0,0.0
Saudi Arabia,1920.0,3600.0,37761,375,0.9930881067768332
Senegal,1159.7919999999992,-1156.1919999999998,3699,17,0.4595836712625034
Serbia,3521.3200000000043,1680.4720000000034,26389,585,2.216832771230437
Seychelles,-374.3679999999996,4439.360000000007,216,0,0.0
Sierra Leone,676.8444000000001,-942.3911200000015,51,0,0.0
Singapore,102.66399999999985,8306.664000000004,27282,80,0.2932336338978081
Slovakia,3893.519999999997,1575.920000000001,8885,19,0.21384355655599324
Slovenia,3692.095999999993,1199.6399999999996,18710,379,2.0256547300908605
Somalia,412.16800000000035,3695.9679999999958,120,3,2.5
South Africa,-2444.7599999999998,1835.0,26977,136,0.5041331504615042
South Sudan,550.1600000000003,2504.5599999999977,13,0,0.0
Spain,3200.0,-320.0,2074225,183806,8.86143017271511
Sri Lanka,560.0,6480.0,3235,59,1.8238021638330757
Sudan,1029.0239999999997,2417.4079999999967,172,41,23.837209302325583
Suriname,313.5439999999999,-4482.223999999995,188,8,4.25531914893617
Sweden,5040.0,1280.0,115984,6042,5.209339219202649
Switzerland,3745.4560000000047,658.1999999999998,368735,9993,2.7100763420884917
Syria,2784.166000000004,3119.7451999999985,224,25,11.160714285714286
Taiwan*,1896.0000000000025,9680.0,8169,114,1.395519647447668
Tanzania,-509.5200000000011,2791.1040000000016,395,13,3.2911392405063293
Thailand,1200.0,8080.0,36109,309,0.8557423357057797
Timor-Leste,-709.9373600000005,10058.203120000007,21,0,0.0
Togo,689.5600000000006,65.98400000000011,820,33,4.024390243902439
Trinidad and Tobago,855.3440000000019,-4897.799999999995,1783,85,4.767246214245653
Tunisia,2720.0,720.0,8137,267,3.2813076072262506
Turkey,3117.095999999995,2819.464000000004,356377,7209,2.0228578163012765
US,2967.2160000000044,-7657.0320000000165,4615915,127258,2.7569398483290963
Uganda,80.0,2560.0,711,0,0.0
Ukraine,3870.3519999999935,2493.247999999999,16904,488,2.8868906767628966
United Arab Emirates,1920.0,4320.0,25645,142,0.5537141743029831
United Kingdom,21602.39199999999,-38633.97599999992,669560,62913,9.39617061951132
Uruguay,-2601.8240000000014,-4461.264000000004,6770,57,0.8419497784342689
Uzbekistan,3310.2000000000035,5166.8240000000005,5011,32,0.6385950908002395
Venezuela,513.9040000000011,-5327.176000000007,2891,81,2.801798685575925
Vietnam,1280.0,8640.0,5356,0,0.0
West Bank and Gaza,2556.1760000000004,2818.656,3606,17,0.4714364947310039
Western Sahara,1937.2400000000011,-1030.864000000001,24,0,0.0
Yemen,1244.2181600000001,3881.31104,1,0,0.0
Zambia,-1233.3359999999996,2262.664000000003,582,10,1.7182130584192439
Zimbabwe,-1600.0,2400.0,153,26,16.99346405228758
